mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,displacement_cc,Pwr/Wt_Ratio
18.0,8,307.0,130.0,3504,12.0,70,usa,chevrolet chevelle malibu,5030.84,26.95
15.0,8,350.0,165.0,3693,11.5,70,usa,buick skylark 320,5735.48,22.38
18.0,8,318.0,150.0,3436,11.0,70,usa,plymouth satellite,5211.1,22.91
16.0,8,304.0,150.0,3433,12.0,70,usa,amc rebel sst,4981.68,22.89
17.0,8,302.0,140.0,3449,10.5,70,usa,ford torino,4948.9,24.64
15.0,8,429.0,198.0,4341,10.0,70,usa,ford galaxie 500,7030.07,21.92
14.0,8,454.0,220.0,4354,9.0,70,usa,chevrolet impala,7439.74,19.79
14.0,8,440.0,215.0,4312,8.5,70,usa,plymouth fury iii,7210.32,20.06
14.0,8,455.0,225.0,4425,10.0,70,usa,pontiac catalina,7456.13,19.67
15.0,8,390.0,190.0,3850,8.5,70,usa,amc ambassador dpl,6390.97,20.26
15.0,8,383.0,170.0,3563,10.0,70,usa,dodge challenger se,6276.26,20.96
14.0,8,340.0,160.0,3609,8.0,70,usa,plymouth 'cuda 340,5571.61,22.56
15.0,8,400.0,150.0,3761,9.5,70,usa,chevrolet monte carlo,6554.84,25.07
14.0,8,455.0,225.0,3086,10.0,70,usa,buick estate wagon (sw),7456.13,13.72
24.0,4,113.0,95.0,2372,15.0,70,japan,toyota corona mark ii,1851.74,24.97
22.0,6,198.0,95.0,2833,15.5,70,usa,plymouth duster,3244.65,29.82
18.0,6,199.0,97.0,2774,15.5,70,usa,amc hornet,3261.03,28.6
21.0,6,200.0,85.0,2587,16.0,70,usa,ford maverick,3277.42,30.44
27.0,4,97.0,88.0,2130,14.5,70,japan,datsun pl510,1589.55,24.2
26.0,4,97.0,46.0,1835,20.5,70,europe,volkswagen 1131 deluxe sedan,1589.55,39.89
25.0,4,110.0,87.0,2672,17.5,70,europe,peugeot 504,1802.58,30.71
24.0,4,107.0,90.0,2430,14.5,70,europe,audi 100 ls,1753.42,27.0
25.0,4,104.0,95.0,2375,17.5,70,europe,saab 99e,1704.26,25.0
26.0,4,121.0,113.0,2234,12.5,70,europe,bmw 2002,1982.84,19.77
21.0,6,199.0,90.0,2648,15.0,70,usa,amc gremlin,3261.03,29.42
10.0,8,360.0,215.0,4615,14.0,70,usa,ford f250,5899.36,21.47
10.0,8,307.0,200.0,4376,15.0,70,usa,chevy c20,5030.84,21.88
11.0,8,318.0,210.0,4382,13.5,70,usa,dodge d200,5211.1,20.87
9.0,8,304.0,193.0,4732,18.5,70,usa,hi 1200d,4981.68,24.52
27.0,4,97.0,88.0,2130,14.5,71,japan,datsun pl510,1589.55,24.2
28.0,4,140.0,90.0,2264,15.5,71,usa,chevrolet vega 2300,2294.19,25.16
25.0,4,113.0,95.0,2228,14.0,71,japan,toyota corona,1851.74,23.45
25.0,4,98.0,,2046,19.0,71,usa,ford pinto,1605.94,
19.0,6,232.0,100.0,2634,13.0,71,usa,amc gremlin,3801.81,26.34
16.0,6,225.0,105.0,3439,15.5,71,usa,plymouth satellite custom,3687.1,32.75
17.0,6,250.0,100.0,3329,15.5,71,usa,chevrolet chevelle malibu,4096.77,33.29
19.0,6,250.0,88.0,3302,15.5,71,usa,ford torino 500,4096.77,37.52
18.0,6,232.0,100.0,3288,15.5,71,usa,amc matador,3801.81,32.88
14.0,8,350.0,165.0,4209,12.0,71,usa,chevrolet impala,5735.48,25.51
14.0,8,400.0,175.0,4464,11.5,71,usa,pontiac catalina brougham,6554.84,25.51
14.0,8,351.0,153.0,4154,13.5,71,usa,ford galaxie 500,5751.87,27.15
14.0,8,318.0,150.0,4096,13.0,71,usa,plymouth fury iii,5211.1,27.31
12.0,8,383.0,180.0,4955,11.5,71,usa,dodge monaco (sw),6276.26,27.53
13.0,8,400.0,170.0,4746,12.0,71,usa,ford country squire (sw),6554.84,27.92
13.0,8,400.0,175.0,5140,12.0,71,usa,pontiac safari (sw),6554.84,29.37
18.0,6,258.0,110.0,2962,13.5,71,usa,amc hornet sportabout (sw),4227.87,26.93
22.0,4,140.0,72.0,2408,19.0,71,usa,chevrolet vega (sw),2294.19,33.44
19.0,6,250.0,100.0,3282,15.0,71,usa,pontiac firebird,4096.77,32.82
18.0,6,250.0,88.0,3139,14.5,71,usa,ford mustang,4096.77,35.67
23.0,4,122.0,86.0,2220,14.0,71,usa,mercury capri 2000,1999.23,25.81
28.0,4,116.0,90.0,2123,14.0,71,europe,opel 1900,1900.9,23.59
30.0,4,79.0,70.0,2074,19.5,71,europe,peugeot 304,1294.58,29.63
30.0,4,88.0,76.0,2065,14.5,71,europe,fiat 124b,1442.06,27.17
31.0,4,71.0,65.0,1773,19.0,71,japan,toyota corolla 1200,1163.48,27.28
35.0,4,72.0,69.0,1613,18.0,71,japan,datsun 1200,1179.87,23.38
27.0,4,97.0,60.0,1834,19.0,71,europe,volkswagen model 111,1589.55,30.57
26.0,4,91.0,70.0,1955,20.5,71,usa,plymouth cricket,1491.23,27.93
24.0,4,113.0,95.0,2278,15.5,72,japan,toyota corona hardtop,1851.74,23.98
25.0,4,97.5,80.0,2126,17.0,72,usa,dodge colt hardtop,1597.74,26.58
23.0,4,97.0,54.0,2254,23.5,72,europe,volkswagen type 3,1589.55,41.74
20.0,4,140.0,90.0,2408,19.5,72,usa,chevrolet vega,2294.19,26.76
21.0,4,122.0,86.0,2226,16.5,72,usa,ford pinto runabout,1999.23,25.88
13.0,8,350.0,165.0,4274,12.0,72,usa,chevrolet impala,5735.48,25.9
14.0,8,400.0,175.0,4385,12.0,72,usa,pontiac catalina,6554.84,25.06
15.0,8,318.0,150.0,4135,13.5,72,usa,plymouth fury iii,5211.1,27.57
14.0,8,351.0,153.0,4129,13.0,72,usa,ford galaxie 500,5751.87,26.99
17.0,8,304.0,150.0,3672,11.5,72,usa,amc ambassador sst,4981.68,24.48
11.0,8,429.0,208.0,4633,11.0,72,usa,mercury marquis,7030.07,22.27
13.0,8,350.0,155.0,4502,13.5,72,usa,buick lesabre custom,5735.48,29.05
12.0,8,350.0,160.0,4456,13.5,72,usa,oldsmobile delta 88 royale,5735.48,27.85
13.0,8,400.0,190.0,4422,12.5,72,usa,chrysler newport royal,6554.84,23.27
19.0,3,70.0,97.0,2330,13.5,72,japan,mazda rx2 coupe,1147.1,24.02
15.0,8,304.0,150.0,3892,12.5,72,usa,amc matador (sw),4981.68,25.95
13.0,8,307.0,130.0,4098,14.0,72,usa,chevrolet chevelle concours (sw),5030.84,31.52
13.0,8,302.0,140.0,4294,16.0,72,usa,ford gran torino (sw),4948.9,30.67
14.0,8,318.0,150.0,4077,14.0,72,usa,plymouth satellite custom (sw),5211.1,27.18
18.0,4,121.0,112.0,2933,14.5,72,europe,volvo 145e (sw),1982.84,26.19
22.0,4,121.0,76.0,2511,18.0,72,europe,volkswagen 411 (sw),1982.84,33.04
21.0,4,120.0,87.0,2979,19.5,72,europe,peugeot 504 (sw),1966.45,34.24
26.0,4,96.0,69.0,2189,18.0,72,europe,renault 12 (sw),1573.16,31.72
22.0,4,122.0,86.0,2395,16.0,72,usa,ford pinto (sw),1999.23,27.85
28.0,4,97.0,92.0,2288,17.0,72,japan,datsun 510 (sw),1589.55,24.87
23.0,4,120.0,97.0,2506,14.5,72,japan,toyouta corona mark ii (sw),1966.45,25.84
28.0,4,98.0,80.0,2164,15.0,72,usa,dodge colt (sw),1605.94,27.05
27.0,4,97.0,88.0,2100,16.5,72,japan,toyota corolla 1600 (sw),1589.55,23.86
13.0,8,350.0,175.0,4100,13.0,73,usa,buick century 350,5735.48,23.43
14.0,8,304.0,150.0,3672,11.5,73,usa,amc matador,4981.68,24.48
13.0,8,350.0,145.0,3988,13.0,73,usa,chevrolet malibu,5735.48,27.5
14.0,8,302.0,137.0,4042,14.5,73,usa,ford gran torino,4948.9,29.5
15.0,8,318.0,150.0,3777,12.5,73,usa,dodge coronet custom,5211.1,25.18
12.0,8,429.0,198.0,4952,11.5,73,usa,mercury marquis brougham,7030.07,25.01
13.0,8,400.0,150.0,4464,12.0,73,usa,chevrolet caprice classic,6554.84,29.76
13.0,8,351.0,158.0,4363,13.0,73,usa,ford ltd,5751.87,27.61
14.0,8,318.0,150.0,4237,14.5,73,usa,plymouth fury gran sedan,5211.1,28.25
13.0,8,440.0,215.0,4735,11.0,73,usa,chrysler new yorker brougham,7210.32,22.02
12.0,8,455.0,225.0,4951,11.0,73,usa,buick electra 225 custom,7456.13,22.0
13.0,8,360.0,175.0,3821,11.0,73,usa,amc ambassador brougham,5899.36,21.83
18.0,6,225.0,105.0,3121,16.5,73,usa,plymouth valiant,3687.1,29.72
16.0,6,250.0,100.0,3278,18.0,73,usa,chevrolet nova custom,4096.77,32.78
18.0,6,232.0,100.0,2945,16.0,73,usa,amc hornet,3801.81,29.45
18.0,6,250.0,88.0,3021,16.5,73,usa,ford maverick,4096.77,34.33
23.0,6,198.0,95.0,2904,16.0,73,usa,plymouth duster,3244.65,30.57
26.0,4,97.0,46.0,1950,21.0,73,europe,volkswagen super beetle,1589.55,42.39
11.0,8,400.0,150.0,4997,14.0,73,usa,chevrolet impala,6554.84,33.31
12.0,8,400.0,167.0,4906,12.5,73,usa,ford country,6554.84,29.38
13.0,8,360.0,170.0,4654,13.0,73,usa,plymouth custom suburb,5899.36,27.38
12.0,8,350.0,180.0,4499,12.5,73,usa,oldsmobile vista cruiser,5735.48,24.99
18.0,6,232.0,100.0,2789,15.0,73,usa,amc gremlin,3801.81,27.89
20.0,4,97.0,88.0,2279,19.0,73,japan,toyota carina,1589.55,25.9
21.0,4,140.0,72.0,2401,19.5,73,usa,chevrolet vega,2294.19,33.35
22.0,4,108.0,94.0,2379,16.5,73,japan,datsun 610,1769.81,25.31
18.0,3,70.0,90.0,2124,13.5,73,japan,maxda rx3,1147.1,23.6
19.0,4,122.0,85.0,2310,18.5,73,usa,ford pinto,1999.23,27.18
21.0,6,155.0,107.0,2472,14.0,73,usa,mercury capri v6,2540.0,23.1
26.0,4,98.0,90.0,2265,15.5,73,europe,fiat 124 sport coupe,1605.94,25.17
15.0,8,350.0,145.0,4082,13.0,73,usa,chevrolet monte carlo s,5735.48,28.15
16.0,8,400.0,230.0,4278,9.5,73,usa,pontiac grand prix,6554.84,18.6
29.0,4,68.0,49.0,1867,19.5,73,europe,fiat 128,1114.32,38.1
24.0,4,116.0,75.0,2158,15.5,73,europe,opel manta,1900.9,28.77
20.0,4,114.0,91.0,2582,14.0,73,europe,audi 100ls,1868.13,28.37
19.0,4,121.0,112.0,2868,15.5,73,europe,volvo 144ea,1982.84,25.61
15.0,8,318.0,150.0,3399,11.0,73,usa,dodge dart custom,5211.1,22.66
24.0,4,121.0,110.0,2660,14.0,73,europe,saab 99le,1982.84,24.18
20.0,6,156.0,122.0,2807,13.5,73,japan,toyota mark ii,2556.39,23.01
11.0,8,350.0,180.0,3664,11.0,73,usa,oldsmobile omega,5735.48,20.36
20.0,6,198.0,95.0,3102,16.5,74,usa,plymouth duster,3244.65,32.65
21.0,6,200.0,,2875,17.0,74,usa,ford maverick,3277.42,
19.0,6,232.0,100.0,2901,16.0,74,usa,amc hornet,3801.81,29.01
15.0,6,250.0,100.0,3336,17.0,74,usa,chevrolet nova,4096.77,33.36
31.0,4,79.0,67.0,1950,19.0,74,japan,datsun b210,1294.58,29.1
26.0,4,122.0,80.0,2451,16.5,74,usa,ford pinto,1999.23,30.64
32.0,4,71.0,65.0,1836,21.0,74,japan,toyota corolla 1200,1163.48,28.25
25.0,4,140.0,75.0,2542,17.0,74,usa,chevrolet vega,2294.19,33.89
16.0,6,250.0,100.0,3781,17.0,74,usa,chevrolet chevelle malibu classic,4096.77,37.81
16.0,6,258.0,110.0,3632,18.0,74,usa,amc matador,4227.87,33.02
18.0,6,225.0,105.0,3613,16.5,74,usa,plymouth satellite sebring,3687.1,34.41
16.0,8,302.0,140.0,4141,14.0,74,usa,ford gran torino,4948.9,29.58
13.0,8,350.0,150.0,4699,14.5,74,usa,buick century luxus (sw),5735.48,31.33
14.0,8,318.0,150.0,4457,13.5,74,usa,dodge coronet custom (sw),5211.1,29.71
14.0,8,302.0,140.0,4638,16.0,74,usa,ford gran torino (sw),4948.9,33.13
14.0,8,304.0,150.0,4257,15.5,74,usa,amc matador (sw),4981.68,28.38
29.0,4,98.0,83.0,2219,16.5,74,europe,audi fox,1605.94,26.73
26.0,4,79.0,67.0,1963,15.5,74,europe,volkswagen dasher,1294.58,29.3
26.0,4,97.0,78.0,2300,14.5,74,europe,opel manta,1589.55,29.49
31.0,4,76.0,52.0,1649,16.5,74,japan,toyota corona,1245.42,31.71
32.0,4,83.0,61.0,2003,19.0,74,japan,datsun 710,1360.13,32.84
28.0,4,90.0,75.0,2125,14.5,74,usa,dodge colt,1474.84,28.33
24.0,4,90.0,75.0,2108,15.5,74,europe,fiat 128,1474.84,28.11
26.0,4,116.0,75.0,2246,14.0,74,europe,fiat 124 tc,1900.9,29.95
24.0,4,120.0,97.0,2489,15.0,74,japan,honda civic,1966.45,25.66
26.0,4,108.0,93.0,2391,15.5,74,japan,subaru,1769.81,25.71
31.0,4,79.0,67.0,2000,16.0,74,europe,fiat x1.9,1294.58,29.85
19.0,6,225.0,95.0,3264,16.0,75,usa,plymouth valiant custom,3687.1,34.36
18.0,6,250.0,105.0,3459,16.0,75,usa,chevrolet nova,4096.77,32.94
15.0,6,250.0,72.0,3432,21.0,75,usa,mercury monarch,4096.77,47.67
15.0,6,250.0,72.0,3158,19.5,75,usa,ford maverick,4096.77,43.86
16.0,8,400.0,170.0,4668,11.5,75,usa,pontiac catalina,6554.84,27.46
15.0,8,350.0,145.0,4440,14.0,75,usa,chevrolet bel air,5735.48,30.62
16.0,8,318.0,150.0,4498,14.5,75,usa,plymouth grand fury,5211.1,29.99
14.0,8,351.0,148.0,4657,13.5,75,usa,ford ltd,5751.87,31.47
17.0,6,231.0,110.0,3907,21.0,75,usa,buick century,3785.42,35.52
16.0,6,250.0,105.0,3897,18.5,75,usa,chevroelt chevelle malibu,4096.77,37.11
15.0,6,258.0,110.0,3730,19.0,75,usa,amc matador,4227.87,33.91
18.0,6,225.0,95.0,3785,19.0,75,usa,plymouth fury,3687.1,39.84
21.0,6,231.0,110.0,3039,15.0,75,usa,buick skyhawk,3785.42,27.63
20.0,8,262.0,110.0,3221,13.5,75,usa,chevrolet monza 2+2,4293.42,29.28
13.0,8,302.0,129.0,3169,12.0,75,usa,ford mustang ii,4948.9,24.57
29.0,4,97.0,75.0,2171,16.0,75,japan,toyota corolla,1589.55,28.95
23.0,4,140.0,83.0,2639,17.0,75,usa,ford pinto,2294.19,31.8
20.0,6,232.0,100.0,2914,16.0,75,usa,amc gremlin,3801.81,29.14
23.0,4,140.0,78.0,2592,18.5,75,usa,pontiac astro,2294.19,33.23
24.0,4,134.0,96.0,2702,13.5,75,japan,toyota corona,2195.87,28.15
25.0,4,90.0,71.0,2223,16.5,75,europe,volkswagen dasher,1474.84,31.31
24.0,4,119.0,97.0,2545,17.0,75,japan,datsun 710,1950.06,26.24
18.0,6,171.0,97.0,2984,14.5,75,usa,ford pinto,2802.19,30.76
29.0,4,90.0,70.0,1937,14.0,75,europe,volkswagen rabbit,1474.84,27.67
19.0,6,232.0,90.0,3211,17.0,75,usa,amc pacer,3801.81,35.68
23.0,4,115.0,95.0,2694,15.0,75,europe,audi 100ls,1884.52,28.36
23.0,4,120.0,88.0,2957,17.0,75,europe,peugeot 504,1966.45,33.6
22.0,4,121.0,98.0,2945,14.5,75,europe,volvo 244dl,1982.84,30.05
25.0,4,121.0,115.0,2671,13.5,75,europe,saab 99le,1982.84,23.23
33.0,4,91.0,53.0,1795,17.5,75,japan,honda civic cvcc,1491.23,33.87
28.0,4,107.0,86.0,2464,15.5,76,europe,fiat 131,1753.42,28.65
25.0,4,116.0,81.0,2220,16.9,76,europe,opel 1900,1900.9,27.41
25.0,4,140.0,92.0,2572,14.9,76,usa,capri ii,2294.19,27.96
26.0,4,98.0,79.0,2255,17.7,76,usa,dodge colt,1605.94,28.54
27.0,4,101.0,83.0,2202,15.3,76,europe,renault 12tl,1655.1,26.53
17.5,8,305.0,140.0,4215,13.0,76,usa,chevrolet chevelle malibu classic,4998.07,30.11
16.0,8,318.0,150.0,4190,13.0,76,usa,dodge coronet brougham,5211.1,27.93
15.5,8,304.0,120.0,3962,13.9,76,usa,amc matador,4981.68,33.02
14.5,8,351.0,152.0,4215,12.8,76,usa,ford gran torino,5751.87,27.73
22.0,6,225.0,100.0,3233,15.4,76,usa,plymouth valiant,3687.1,32.33
22.0,6,250.0,105.0,3353,14.5,76,usa,chevrolet nova,4096.77,31.93
24.0,6,200.0,81.0,3012,17.6,76,usa,ford maverick,3277.42,37.19
22.5,6,232.0,90.0,3085,17.6,76,usa,amc hornet,3801.81,34.28
29.0,4,85.0,52.0,2035,22.2,76,usa,chevrolet chevette,1392.9,39.13
24.5,4,98.0,60.0,2164,22.1,76,usa,chevrolet woody,1605.94,36.07
29.0,4,90.0,70.0,1937,14.2,76,europe,vw rabbit,1474.84,27.67
33.0,4,91.0,53.0,1795,17.4,76,japan,honda civic,1491.23,33.87
